speed,direction
13.00,104.84
13.00,112.81
13.00,129.82
13.00,117.20
13.00,90.40
13.00,302.15
13.00,102.84
13.00,88.94
13.00,111.00
13.00,127.90
13.00,140.07
12.99,117.33
12.99,131.94
12.97,323.89
12.96,344.57
12.96,121.68
12.95,129.00
12.95,333.21
12.94,113.42
12.93,65.52
12.93,120.08
12.92,312.93
12.91,309.03
12.91,306.82
12.90,101.84
12.90,126.04
12.90,87.23
12.90,89.88
12.90,297.79
12.90,79.76
12.90,127.44
12.90,100.68
12.90,133.74
12.90,73.22
12.90,317.10
12.90,107.76
12.90,322.31
12.90,311.39
12.90,128.68
12.90,306.65
12.90,280.45
12.90,120.15
12.90,102.86
12.90,75.28
12.90,117.08
12.90,133.01
12.90,135.62
12.90,117.58
12.90,118.17
12.90,91.65
12.90,120.01
12.90,48.04
12.90,82.06
12.90,306.24
12.90,118.73
12.90,131.92
12.89,106.45
12.88,128.83
12.86,99.85
12.86,112.34
12.85,70.58
12.84,109.19
12.83,107.31
12.82,94.31
12.80,120.88
12.80,122.90
12.80,120.45
12.80,122.74
12.80,345.96
12.80,125.70
12.80,107.64
12.80,92.13
12.80,114.84
12.80,101.37
12.80,105.09
12.80,117.59
12.80,307.70
12.80,297.34
12.80,111.81
12.80,302.38
12.80,100.92
12.80,299.83
12.80,67.40
12.80,247.65
12.80,289.10
12.80,114.60
12.80,110.29
12.78,116.88
12.78,108.57
12.77,122.58
12.77,293.36
12.76,118.14
12.76,126.11
12.76,321.69
12.75,304.93
12.74,95.03
12.73,132.43
12.72,111.62
12.71,119.20
12.70,86.18
12.70,129.74
12.70,131.59
12.70,96.24
12.70,125.79
12.70,118.31
12.70,299.79
12.70,54.63
12.70,315.49
12.70,305.95
12.70,113.63
12.70,110.22
12.70,117.73
12.70,104.22
12.70,314.30
12.70,110.24
12.70,310.49
12.70,101.28
12.70,321.04
12.70,105.55
12.70,132.04
12.70,105.40
12.70,136.45
12.70,76.16
12.69,77.71
12.68,49.07
12.68,123.54
12.67,350.83
12.67,130.62
12.65,85.29
12.65,123.00
12.63,324.03
12.62,39.18
12.60,107.07
12.60,87.45
12.60,106.09
12.60,111.62
12.60,74.25
12.60,125.22
12.60,292.15
12.60,120.07
12.60,122.74
12.60,125.34
12.60,129.72
12.60,303.49
12.60,295.19
12.60,40.31
12.60,301.31
12.60,117.74
12.60,287.96
12.60,107.47
12.60,109.63
12.60,114.70
12.60,310.39
12.60,104.18
12.60,103.23
12.60,73.52
12.60,79.28
12.60,151.37
12.60,107.18
12.60,110.35
12.60,110.25
12.60,42.18
12.60,298.03
12.59,304.98
12.59,41.18
12.58,125.80
12.58,298.49
12.58,133.27
12.58,3.05
12.56,125.55
12.56,116.69
12.56,44.51
12.55,55.72
12.55,109.24
12.54,125.20
12.53,124.59
12.52,97.50
12.51,314.24
